Title,Subtitle,Narrated By,Series,Length,Release Date,Language,Ratings
"Jab, Jab, Jab, Right Hook",How to Tell Your Story in a Noisy Social World,Narrated by: John Hopkinson,,Length: 5 hrs and 41 mins,Release date: 03-29-23,Language: English,Not rated yet
Capitalist Punishment,How Wall Street Is Using Your Money to Create a Country You Didn't Vote For,Narrated by: Timothy Andrés Pabon,,Length: 7 hrs,Release date: 04-25-23,Language: English,Not rated yet
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,,Narrated by: Tom Parks,,Length: 65 hrs and 38 mins,Release date: 02-28-23,Language: English,Not rated yet
Get Rich with Dividends,A Proven System for Earning Double-Digit Returns (Agora Series),Narrated by: William Paul Williams,,Length: 7 hrs and 59 mins,Release date: 04-18-23,Language: English,"5 out of 5 stars
1 rating"
The Total Money Makeover,A Proven Plan for Financial Fitness,Narrated by: Dave Ramsey,,Length: 3 hrs and 41 mins,Release date: 11-07-03,Language: English,"4.5 out of 5 stars
44,102 ratings"
Profit First,Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Narrated by: Mike Michalowicz,,Length: 8 hrs and 35 mins,Release date: 02-21-17,Language: English,"5 out of 5 stars
6,072 ratings"
How to Make Money in Stocks (Fourth Edition),A Winning System in Good Times and Bad,Narrated by: Christopher Grove,,Length: 11 hrs and 50 mins,Release date: 03-14-23,Language: English,"4 out of 5 stars
4 ratings"
The Millionaire Next Door,The Surprising Secrets of America's Rich,Narrated by: Cotter Smith,,Length: 8 hrs and 16 mins,Release date: 10-27-00,Language: English,"4.5 out of 5 stars
19,185 ratings"
The Innovator's Dilemma,When New Technologies Cause Great Firms to Fail,Narrated by: L.J. Ganser,,Length: 8 hrs and 37 mins,Release date: 04-18-17,Language: English,"4.5 out of 5 stars
1,671 ratings"
The Success Principles(TM) - 10th Anniversary Edition,How to Get from Where You Are to Where You Want to Be,Narrated by: Danny Campbell,,Length: 21 hrs and 46 mins,Release date: 01-27-15,Language: English,"5 out of 5 stars
3,419 ratings"
Principles,Life and Work,"Narrated by: Ray Dalio, Jeremy Bobb",,Length: 16 hrs and 5 mins,Release date: 09-19-17,Language: English,"4.5 out of 5 stars
18,590 ratings"
The Cloud Revolution,How the Convergence of New Technologies Will Unleash the Next Economic Boom and a Roaring 2020s,Narrated by: Steve Menasche,,Length: 17 hrs and 15 mins,Release date: 02-21-23,Language: English,"3 out of 5 stars
1 rating"
The Simple Path to Wealth,"Your Road Map to Financial Independence and a Rich, Free Life","Narrated by: JL Collins, Peter Adeney",,Length: 6 hrs and 38 mins,Release date: 06-27-17,Language: English,"5 out of 5 stars
8,603 ratings"
Cómo piensan los ricos,18 claves imperecederas sobre riqueza y felicidad,Narrated by: Miguel Coll,,Length: 7 hrs and 2 mins,Release date: 08-11-21,Language: Spanish,"5 out of 5 stars
3 ratings"
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",,Narrated by: Ray Porter,,Length: 13 hrs and 1 min,Release date: 12-28-08,Language: English,"4.5 out of 5 stars
20,912 ratings"
El Hombre Mas Rico De Babilonia [The Richest Man in Babylon],,Narrated by: Marcelo Russo,,Length: 5 hrs and 20 mins,Release date: 10-27-11,Language: Spanish,"5 out of 5 stars
2,111 ratings"
The Big Short,Inside the Doomsday Machine,Narrated by: Jesse Boggs,,Length: 9 hrs and 27 mins,Release date: 03-15-10,Language: English,"4.5 out of 5 stars
13,740 ratings"
"Set for Life, Revised Edition",An All-Out Approach to Early Financial Freedom,Narrated by: Scott Trench,,Length: 9 hrs and 22 mins,Release date: 04-28-17,Language: English,"4.5 out of 5 stars
4,894 ratings"
Hillbilly Elegy,A Memoir of a Family and Culture in Crisis,Narrated by: J. D. Vance,,Length: 6 hrs and 49 mins,Release date: 06-28-16,Language: English,"4.5 out of 5 stars
53,168 ratings"
Fooled by Randomness,The Hidden Role of Chance in Life and in the Markets,Narrated by: Sean Pratt,Series: Incerto,Length: 10 hrs and 3 mins,Release date: 01-07-08,Language: English,"4.5 out of 5 stars
5,563 ratings"
Why Nations Fail,"The Origins of Power, Prosperity, and Poverty",Narrated by: Dan Woren,,Length: 17 hrs and 55 mins,Release date: 03-20-12,Language: English,"4.5 out of 5 stars
4,221 ratings"
Killing Sacred Cows,Overcoming the Financial Myths That Are Destroying Your Prosperity,Narrated by: Garrett B. Gunderson,,Length: 8 hrs and 11 mins,Release date: 02-10-17,Language: English,"4.5 out of 5 stars
1,380 ratings"
The Smartest Guys in the Room,The Amazing Rise and Scandalous Fall of Enron,Narrated by: Dennis Boutsikaris,,Length: 22 hrs and 30 mins,Release date: 11-11-10,Language: English,"4.5 out of 5 stars
2,833 ratings"
The Everything Store,Jeff Bezos and the Age of Amazon,Narrated by: Pete Larkin,,Length: 13 hrs,Release date: 10-15-13,Language: English,"4.5 out of 5 stars
15,731 ratings"
Capital in the Twenty-First Century,,Narrated by: L. J. Ganser,,Length: 24 hrs and 58 mins,Release date: 05-22-14,Language: English,"4.5 out of 5 stars
3,488 ratings"
The ONE Thing,The Surprisingly Simple Truth Behind Extraordinary Results,"Narrated by: Timothy Miller, Claire Hamilton",,Length: 5 hrs and 28 mins,Release date: 10-08-13,Language: English,"4.5 out of 5 stars
19,465 ratings"
Fanatical Prospecting,"The Ultimate Guide for Starting Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, E-Mail, and Cold Calling","Narrated by: Jeb Blount, Jeremy Arthur",,Length: 8 hrs and 21 mins,Release date: 06-28-16,Language: English,"4.5 out of 5 stars
6,344 ratings"
Antifragile,Things That Gain from Disorder,Narrated by: Joe Ochman,Series: Incerto,Length: 16 hrs and 14 mins,Release date: 11-27-12,Language: English,"4.5 out of 5 stars
7,749 ratings"
Titan,"The Life of John D. Rockefeller, Sr.",Narrated by: Grover Gardner,,Length: 35 hrs and 3 mins,Release date: 12-30-12,Language: English,"4.5 out of 5 stars
8,488 ratings"
The Speed of Trust,The One Thing that Changes Everything,Narrated by: Stephen M. R. Covey,,Length: 12 hrs and 13 mins,Release date: 12-28-08,Language: English,"4.5 out of 5 stars
2,594 ratings"
Freakonomics,Revised Edition,Narrated by: Stephen J. Dubner,,Length: 7 hrs and 51 mins,Release date: 06-14-07,Language: English,"4.5 out of 5 stars
12,101 ratings"
The E-Myth Revisited,Why Most Small Businesses Don't Work and What to Do About It,Narrated by: Michael E. Gerber,,Length: 8 hrs and 5 mins,Release date: 12-26-04,Language: English,"4.5 out of 5 stars
14,158 ratings"
Viral Justice,How We Grow the World We Want,"Narrated by: Ruha Benjamin, Ibram X. Kendi",,Length: 13 hrs and 24 mins,Release date: 10-11-22,Language: English,"5 out of 5 stars
33 ratings"
The Intelligent Investor Rev Ed.,,Narrated by: Luke Daniels,,Length: 17 hrs and 48 mins,Release date: 07-07-15,Language: English,"4.5 out of 5 stars
6,877 ratings"
ChatGPT Passive Income Blueprint,The Quick-Start Guide to Making Money with Artificial Intelligence,Narrated by: R. E. Harter,,Length: 1 hr and 38 mins,Release date: 04-11-23,Language: English,"4.5 out of 5 stars
16 ratings"
Joy of Agility,How to Solve Problems and Succeed Sooner,Narrated by: Joshua Kerievsky,,Length: 8 hrs and 23 mins,Release date: 03-28-23,Language: English,Not rated yet
White Trash,The 400-Year Untold History of Class in America,Narrated by: Kirsten Potter,,Length: 14 hrs and 26 mins,Release date: 03-28-23,Language: English,Not rated yet
HBR Guide to Buying a Small Business,"Think Big, Buy Small, Own Your Own Company",Narrated by: Brian Holsopple,,Length: 6 hrs and 51 mins,Release date: 03-02-17,Language: English,"4.5 out of 5 stars
370 ratings"
A Man for All Markets,"From Las Vegas to Wall Street, How I Beat the Dealer and the Market",Narrated by: Edward O. Thorp,,Length: 16 hrs and 30 mins,Release date: 01-24-17,Language: English,"4.5 out of 5 stars
2,471 ratings"
Palo Alto,"A History of California, Capitalism, and the World",Narrated by: Patrick Harrison,,Length: 28 hrs and 20 mins,Release date: 02-14-23,Language: English,"4 out of 5 stars
41 ratings"
The Wealth of Nations,,Narrated by: Gildart Jackson,,Length: 36 hrs and 43 mins,Release date: 01-11-11,Language: English,"4.5 out of 5 stars
1,501 ratings"
Secrets of the Millionaire Mind,Mastering the Inner Game of Wealth,Narrated by: Charles Constant,,Length: 5 hrs and 10 mins,Release date: 06-14-16,Language: English,"5 out of 5 stars
10,092 ratings"
"Padre Rico, Padre Pobre [Rich Dad, Poor Dad]",Qué les enseñan los ricos a sus hijos acerca del dinero. ¡que los pobres y la clase media no!,Narrated by: Jesús Flores Jaimes,"Series: Padre rico, padre pobre [Rich Dad, Poor Dad Series]",Length: 6 hrs and 24 mins,Release date: 06-17-16,Language: Spanish,"5 out of 5 stars
4,895 ratings"
The Millionaire Real Estate Agent,,Narrated by: Kyle Hebert,,Length: 11 hrs and 4 mins,Release date: 11-06-07,Language: English,"4.5 out of 5 stars
3,314 ratings"
Rich Habits,The Daily Success Habits of Wealthy Individuals,Narrated by: Rich Grimshaw,,Length: 2 hrs and 12 mins,Release date: 04-25-16,Language: English,"4.5 out of 5 stars
661 ratings"
